propinsi,tahun,kelamin,jumlah
Sulawesi Tenggara,2030,P,1606.5
Sulawesi Tenggara,2035,L,1742.4
Sulawesi Tenggara,2035,P,1715.7
Gorontalo,2010,L,523.2
Gorontalo,2010,P,521.6
Gorontalo,2015,L,567.7
Gorontalo,2015,P,565.5
Gorontalo,2020,L,610.9
Gorontalo,2020,P,608.7
Gorontalo,2025,L,650.7
Gorontalo,2025,P,649
Gorontalo,2030,L,685.5
Gorontalo,2030,P,684.7
Gorontalo,2035,L,714.7
Gorontalo,2035,P,715.4
Sulawesi Barat,2010,L,583.4
Sulawesi Barat,2010,P,581.2
Sulawesi Barat,2015,L,643.2
Sulawesi Barat,2015,P,639
Sulawesi Barat,2020,L,705.3
Sulawesi Barat,2020,P,699.7
Sulawesi Barat,2025,L,767.4
Sulawesi Barat,2025,P,760.4
Sulawesi Barat,2030,L,827.6
Sulawesi Barat,2030,P,819.6
Sulawesi Barat,2035,L,886.1
Sulawesi Barat,2035,P,877.2
Maluku,2010,L,778.3
Maluku,2010,P,763.6
Maluku,2015,L,850.7
Maluku,2015,P,835.8
Maluku,2020,L,923.2
Maluku,2020,P,908.7
Maluku,2025,L,993.2
Maluku,2025,P,979.5
Maluku,2030,L,1058.4
Maluku,2030,P,1045.8
Maluku,2035,L,1119.6
Maluku,2035,P,1108.2
Maluku Utara,2010,L,533.1
Maluku Utara,2010,P,510.2
Maluku Utara,2015,L,593.2
Maluku Utara,2015,P,569.1
Maluku Utara,2020,L,651.8
Maluku Utara,2020,P,627
Maluku Utara,2025,L,707.9
Maluku Utara,2025,P,683.1
Maluku Utara,2030,L,761.8
Maluku Utara,2030,P,737.6
Maluku Utara,2035,L,813.5
Maluku Utara,2035,P,790.1
Papua Barat,2010,L,404.3
Papua Barat,2010,P,361
Papua Barat,2015,L,459.3
Papua Barat,2015,P,412.2
Papua Barat,2020,L,516.2
Papua Barat,2020,P,465.6
Papua Barat,2025,L,573
Papua Barat,2025,P,519.2
Papua Barat,2030,L,628.3
Papua Barat,2030,P,571.8
Papua Barat,2035,L,681.8
Papua Barat,2035,P,623.2
Papua,2010,L,1515.6
Papua,2010,P,1341.4
Papua,2015,L,1661.2
Papua,2015,P,1488.2
Papua,2020,L,1802.2
Papua,2020,P,1633.2
Papua,2025,L,1931.4
Papua,2025,P,1770.3
Papua,2030,L,2044.3
Papua,2030,P,1895.1
Papua,2035,L,2139.1
Papua,2035,P,2005.5

